                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
77,1.1624,1.3717,1.5258,0.74793,0.51588,0.56701,0.2584,1.9783,1.56,2.0822,0.00034643,0.00034643,0.00034643
78,1.1661,1.3534,1.5191,0.68623,0.54251,0.57507,0.26797,1.9574,1.5257,2.0743,0.0003323,0.0003323,0.0003323
79,1.1456,1.3464,1.512,0.72868,0.51582,0.57742,0.27511,1.9092,1.5066,2.0295,0.00031816,0.00031816,0.00031816
80,1.1479,1.3263,1.5108,0.72858,0.50735,0.55318,0.25949,1.937,1.5832,2.0589,0.00030402,0.00030402,0.00030402
81,1.1422,1.3454,1.5118,0.68827,0.55784,0.57537,0.26426,1.9267,1.5451,2.0638,0.00028988,0.00028988,0.00028988
82,1.1476,1.3153,1.5097,0.73826,0.50584,0.57253,0.27819,1.9157,1.5216,2.0579,0.00027575,0.00027575,0.00027575
83,1.1322,1.294,1.4968,0.67406,0.54427,0.57588,0.27809,1.8762,1.5096,1.9925,0.00026161,0.00026161,0.00026161
84,1.1346,1.2927,1.4884,0.74829,0.56144,0.59948,0.2891,1.9042,1.4491,2.0138,0.00024747,0.00024747,0.00024747
85,1.1311,1.2984,1.493,0.77014,0.5503,0.60786,0.28313,1.9122,1.4517,2.0195,0.00023334,0.00023334,0.00023334
86,1.1133,1.2746,1.4784,0.7227,0.53786,0.58983,0.28267,1.9256,1.495,2.0322,0.0002192,0.0002192,0.0002192
87,1.1192,1.2627,1.4786,0.75393,0.54782,0.60832,0.28496,1.9687,1.42,2.0493,0.00020506,0.00020506,0.00020506
88,1.1112,1.2502,1.4735,0.76056,0.55169,0.60287,0.28346,1.9191,1.4206,2.0219,0.00019092,0.00019092,0.00019092
89,1.0947,1.2357,1.4674,0.76737,0.55071,0.61557,0.2871,1.94,1.4586,2.0354,0.00017679,0.00017679,0.00017679
90,1.1001,1.2219,1.461,0.80067,0.53881,0.61155,0.29258,1.913,1.4322,2.0513,0.00016265,0.00016265,0.00016265
91,1.131,1.1495,1.5056,0.7443,0.58208,0.61572,0.30089,1.8861,1.4143,1.987,0.00014851,0.00014851,0.00014851
92,1.1176,1.1113,1.4929,0.79538,0.56409,0.63119,0.31562,1.8281,1.3371,1.924,0.00013437,0.00013437,0.00013437
93,1.1032,1.0945,1.4827,0.76528,0.58236,0.62188,0.31989,1.8161,1.3765,1.9301,0.00012024,0.00012024,0.00012024
94,1.0978,1.0766,1.4786,0.77888,0.59621,0.63557,0.32154,1.8059,1.3315,1.9206,0.0001061,0.0001061,0.0001061
95,1.0899,1.0717,1.4705,0.7945,0.56951,0.62652,0.31886,1.8278,1.3221,1.9387,9.20E-05,9.20E-05,9.20E-05
96,1.0855,1.0561,1.4613,0.79103,0.585,0.63572,0.32314,1.8185,1.3123,1.9438,7.78E-05,7.78E-05,7.78E-05
97,1.0761,1.0469,1.4595,0.77089,0.58006,0.6331,0.32234,1.8203,1.3046,1.9399,6.37E-05,6.37E-05,6.37E-05
98,1.0792,1.0403,1.4597,0.75044,0.60685,0.64512,0.32706,1.8104,1.2933,1.9329,4.96E-05,4.96E-05,4.96E-05
99,1.0696,1.0351,1.4558,0.79567,0.57767,0.64138,0.33149,1.7957,1.2948,1.9133,3.54E-05,3.54E-05,3.54E-05
100,1.0616,1.0293,1.4454,0.74135,0.59854,0.64249,0.32765,1.8034,1.2991,1.9138,2.13E-05,2.13E-05,2.13E-05
